feature,importance
Actual Day Peak (MW),32332536.68602731
Actual Eve Peak (MW),3483.664119515568
IMERG_PRECTOT,151.4543412066996
T2M,693.5882724635303
RH2M,350.6541136652231
ALLSKY_SFC_SW_DWN,744.7905541136861
PS,983.5719632022083
WSC,278.26905770227313
Derived_LHF_FAO,2464.4252865612507
month,569.1594065353274
month_sin,16.53028804808855
month_cos,345.5917907208204
power_lag1,1004.7641451135278
power_lag7,1105.6124726980925
power_7d_mean,4466.0077330470085
power_30d_mean,1292.1618425622582
precipitation_mm,0.0
rain_lag1,129.0127547197044
rain_7d_mean,566.3713512681425
temperature_c,0.0
shortwave_radiation,0.0
rain_temp_int,160.90787821263075
rain_rad_int,114.5697028413415
