feature,importance
Actual Day Peak (MW),0.9998719782285527
Actual Eve Peak (MW),1.3298272201509005e-05
IMERG_PRECTOT,4.56450092271749e-06
T2M,5.49622938711566e-06
RH2M,3.841284848112708e-06
ALLSKY_SFC_SW_DWN,4.99114873320602e-06
PS,6.078602259020493e-06
WSC,7.168966923923673e-06
Derived_LHF_FAO,5.263796857756856e-06
month,2.096858842664224e-06
month_sin,2.804517568833353e-06
month_cos,3.0191561323237783e-06
power_lag1,9.286278129950835e-06
power_lag7,5.239106544196799e-06
power_7d_mean,1.0349846165286534e-05
power_30d_mean,1.1927027267187395e-05
precipitation_mm,3.7714842378983527e-06
rain_lag1,2.8646888782554604e-06
rain_7d_mean,5.643574207836905e-06
temperature_c,4.246620859539336e-06
shortwave_radiation,7.183603323142525e-06
rain_temp_int,4.1034703772671984e-06
rain_rad_int,4.78273677940748e-06
