feature,importance
Actual Day Peak (MW),6889.486328125
Actual Eve Peak (MW),0.0042511653155088425
IMERG_PRECTOT,0.00021342295804060996
T2M,0.0013661656994372606
RH2M,0.00039819718222133815
ALLSKY_SFC_SW_DWN,0.00406692223623395
PS,0.0005032369517721236
WSC,0.0002642707258928567
Derived_LHF_FAO,0.0006813922664150596
month,0.00177966826595366
month_sin,0.0010319576831534505
month_cos,6.704084080411121e-05
power_lag1,0.0021724249236285686
power_lag7,0.0017679521115496755
power_7d_mean,0.0009292914182879031
power_30d_mean,0.0008495755027979612
rain_lag1,0.0005664748605340719
rain_7d_mean,0.0007070464198477566
rain_temp_int,0.0006735231727361679
rain_rad_int,0.0004900463973172009
